"pr","title","base","head","head_sha","type","status","review_priority","team_action","scope_note"
"27","[chore] Entity Flyway 정합성 검사 추가","feature/agent-storage-foundation","feature/entity-flyway-alignment","aab54a8","stacked","CLEAN no-checks","after-26","앞 PR #26 이후 리뷰","Entity/Flyway 정합성 검사 기반"
"28","[chore] stacked PR 테스트 검증 보강","feature/entity-flyway-alignment","feature/testcontainers-ci-foundation","bb89d1d","stacked-ci","CI PASS CLEAN","after-27","앞 PR #27 이후 리뷰","Testcontainers와 stacked PR CI 기반"
"29","[chore] 2026-06-25 최신 기준 문서 반영","feature/testcontainers-ci-foundation","chore/latest-docs-2026-06-25","see-pr-head","docs-guide","CI PASS CLEAN","high","팀원 리뷰 기준 문서로 먼저 확인","최신 기준 문서와 PR 리뷰 기준"
"30","[feat] 타이머 작업시간 기본 API 추가","feature/work-task-wbs-api","feature/time-log-basic-api","f162377","stacked","CLEAN no-checks","replaced-by-83","develop 대상 #83 우선 리뷰","타이머 작업시간 기본 API 골격"
"31","[feat] 자료 관련 문서 조회 API 추가","feature/resource-basic-foundation","feature/resource-related-api","3bf14f5","stacked","CLEAN no-checks","after-25","앞 PR #25 이후 리뷰","자료 관련 문서 조회 기본 API 골격"
"33","[feat] 에이전트 제안함 조회 API 추가","feature/agent-job-status-api","feature/agent-suggestion-list-api","cecc62b","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","에이전트 제안함 조회 기본 API 골격"
"34","[feat] 에이전트 작업 이벤트 조회 API 추가","feature/agent-suggestion-list-api","feature/agent-job-events-api","3a9e260","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","에이전트 작업 이벤트 조회 기본 API 골격"
"35","[feat] 에이전트 제안 상태 수정 API 추가","feature/agent-job-events-api","feature/agent-suggestion-update-api","e78b394","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","에이전트 제안 상태 수정 기본 API 골격"
"36","[feat] 자료 AI 문서 조회 API 추가","feature/agent-suggestion-update-api","feature/resource-ai-document-api","451d05c","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","자료 AI 문서 조회 기본 API 골격"
"37","[feat] 프로젝트룸 AI 문서 목록 조회 API 추가","feature/resource-ai-document-api","feature/room-ai-documents-api","4a9e7e3","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","프로젝트룸 AI 문서 목록 조회 기본 API 골격"
"38","[test] 엔티티 경계 가드 추가","feature/testcontainers-ci-foundation","chore/entity-boundary-guards","3a4adc7","stacked-ci","CI PASS CLEAN","after-28","앞 PR #28 이후 리뷰","도메인 경계 가드 테스트"
"39","[feat] 저장 용량 조회 API 추가","feature/resource-related-api","feature/storage-usage-api","05721e4","stacked","CLEAN no-checks","after-31","앞 PR #31 이후 리뷰","저장 용량 조회 기본 API 골격"
"40","[feat] 자료 분석 작업 생성 API 추가","feature/room-ai-documents-api","feature/analyze-resource-job-api","e2b7e5c","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","자료 분석 job 생성 기본 API 골격"
"41","[feat] 요구사항 후보 생성 작업 API 추가","feature/analyze-resource-job-api","feature/generate-requirements-job-api","4088d62","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","요구사항 후보 job 생성 기본 API 골격"
"42","[feat] TODO 후보 생성 작업 API 추가","feature/generate-requirements-job-api","feature/generate-tasks-job-api","8bdc107","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","TODO 후보 job 생성 기본 API 골격"
"43","[feat] WBS 후보 생성 작업 API 추가","feature/generate-tasks-job-api","feature/generate-wbs-job-api","1145670","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","WBS 후보 job 생성 기본 API 골격"
"44","[feat] 확인 질문 후보 생성 작업 API 추가","feature/generate-wbs-job-api","feature/generate-questions-job-api","2ac6438","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","확인 질문 후보 job 생성 기본 API 골격"
"45","[feat] 계약서 문서 검토 작업 API 추가","feature/generate-questions-job-api","feature/review-contract-documents-job-api","6ef6595","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","계약서 문서 검토 job 생성 기본 API 골격"
"46","[feat] 자료 다운로드 URL API 뼈대 추가","feature/resource-related-api","feature/resource-download-url-api","c5632d8","stacked","CLEAN no-checks","after-base","base 순서대로 리뷰","자료 다운로드 URL provider 경계"
"47","[feat] 내 프로필 수정 API 추가","develop","feature/user-me-update-api","bef21d7","develop-ready","CI PASS review-required #92-base PASS","after-92","팀 리뷰 후 develop 병합 검토 가능","#92 기준선 위 clean merge와 로컬 검증 4종 통과"
"48","[feat] 사용자 설정 API 추가","feature/user-me-update-api","feature/user-preferences-api","82a515e","stacked","CLEAN no-checks #92-chain PASS","after-47","앞 PR #47 이후 리뷰","#92/#47 기준 누적 검증 4종 통과"
"49","[feat] 사용자 알림 설정 API 추가","feature/user-preferences-api","feature/user-notification-preferences-api","6f53d4e","stacked","CLEAN no-checks #92-chain PASS","after-48","앞 PR #48 이후 리뷰","#92/#47/#48 기준 누적 검증 4종 통과"
"50","[feat] 사용자 개인정보 동의 API 추가","feature/user-notification-preferences-api","feature/user-privacy-consents-api","dbfc595","stacked","CLEAN no-checks #92-chain PASS","after-49","앞 PR #49 이후 리뷰","#92/#47/#48/#49 기준 누적 검증 4종 통과"
"51","[feat] 내 프로젝트룸 목록 API 추가","feature/user-privacy-consents-api","feature/user-project-rooms-api","f16f888","stacked","CLEAN no-checks #92-chain PASS","after-50","앞 PR #50 이후 리뷰","#92/#47/#48/#49/#50 기준 누적 검증 4종 통과"
"52","[feat] S3 다운로드 URL Provider 추가","feature/resource-download-url-api","feature/s3-download-url-provider","31d9eb8","stacked","CLEAN no-checks","after-46","앞 PR #46 이후 리뷰","S3 다운로드 URL provider 구현 경계"
"53","[feat] 에이전트 작업 dispatch 경계 추가","feature/review-contract-documents-job-api","feature/agent-job-dispatch-boundary","b0dec9a","stacked","CLEAN no-checks","after-45","앞 PR #45 이후 리뷰","에이전트 dispatch 경계와 in-memory adapter 초안"
"54","[feat] S3 저장 서비스 경계 추가","feature/s3-download-url-provider","feature/s3-storage-service-boundary","0f48244","stacked","CLEAN no-checks","after-52","앞 PR #52 이후 리뷰","S3 저장/삭제 서비스 경계"
"55","[feat] 자료 multipart 업로드 API 연결","feature/s3-storage-service-boundary","feature/resource-multipart-upload-api","cb94fa1","stacked","CLEAN no-checks","after-54","앞 PR #54 이후 리뷰","multipart 업로드 기본 API 연결"
"56","[feat] 자료 업로드 실패 보상 삭제 추가","feature/resource-multipart-upload-api","feature/resource-upload-compensation","6d29e0d","stacked","CLEAN no-checks","after-55","앞 PR #55 이후 리뷰","업로드 실패 보상 삭제 기본 흐름"
"57","[feat] 자료 업로드 정책 검사 추가","feature/resource-upload-compensation","feature/resource-upload-policy","60b9470","stacked","CLEAN no-checks","after-56","앞 PR #56 이후 리뷰","업로드 크기와 MIME 정책 기본 검사"
"58","[feat] 프로젝트룸 수정 결제 종료 API 추가","feature/project-room-members-invitations","feature/project-room-management-api","e471787","stacked","CLEAN no-checks","replaced-by-85","develop 대상 #85 우선 리뷰","프로젝트룸 수정/결제/종료 기본 API 골격"
"59","[feat] 프로젝트룸 이벤트 조회 API 추가","feature/project-room-management-api","feature/project-room-events-api","825da57","stacked","CLEAN no-checks","develop-candidate","base merge 후 develop 대상 재구성 후보","프로젝트룸 이벤트 조회 기본 API 골격"
"60","[feat] 에이전트 dispatch 재시도 기반 추가","feature/agent-job-dispatch-boundary","feature/agent-dispatch-retry-foundation","0222389","stacked","CLEAN no-checks","after-53","앞 PR #53 이후 리뷰","에이전트 dispatch 재시도 기반"
"61","[feat] 프로젝트룸 변경 이벤트 저장 추가","feature/project-room-events-api","feature/project-room-event-recording","04a065d","stacked","CLEAN no-checks","after-59","앞 PR #59 이후 리뷰","프로젝트룸 변경 이벤트 저장 기본 흐름"
"62","[test] 핵심 도메인 FK 정합성 보강","feature/entity-flyway-alignment","feature/core-domain-fk-alignment","de3c707","stacked","CLEAN no-checks","after-27","앞 PR #27 이후 리뷰","핵심 도메인 FK 정합성 테스트"
"63","[feat] 에이전트 dispatch 재시도 worker 추가","feature/agent-dispatch-retry-foundation","feature/agent-dispatch-retry-worker","065f9f0","stacked","CLEAN no-checks","after-60","앞 PR #60 이후 리뷰","에이전트 dispatch 재시도 worker"
"64","feat: connect resource upload storage usage","feature/resource-upload-policy","feature/resource-upload-storage-usage","637fa26","stacked","CLEAN no-checks","after-57","앞 PR #57 이후 리뷰","자료 업로드와 저장공간 사용량 연결"
"65","[feat] 에이전트 dispatch 재시도 scheduler 추가","feature/agent-dispatch-retry-worker","feature/agent-dispatch-retry-scheduler","037c397","stacked","CLEAN no-checks","after-63","앞 PR #63 이후 리뷰","에이전트 dispatch 재시도 scheduler"
"66","[feat] 에이전트 dispatch Redis adapter 추가","feature/agent-dispatch-retry-scheduler","feature/agent-dispatch-redis-adapter","b006662","stacked","CLEAN no-checks","after-65","앞 PR #65 이후 리뷰","Redis enqueue adapter"
"67","[feat] 자료 삭제 저장소 객체 정리 추가","feature/resource-upload-storage-usage","feature/resource-delete-storage-cleanup","8c553ca","stacked","CLEAN no-checks","after-64","앞 PR #64 이후 리뷰","자료 삭제 시 storage object 정리"
"68","[feat] 에이전트 dispatch Redis consumer 경계 추가","feature/agent-dispatch-redis-adapter","feature/agent-dispatch-redis-consumer","6c47fde","stacked","CLEAN no-checks","after-66","앞 PR #66 이후 리뷰","Redis consume 경계"
"69","[feat] 에이전트 dispatch worker shell 추가","feature/agent-dispatch-redis-consumer","feature/agent-dispatch-worker-loop","5c8f54b","stacked","CLEAN no-checks","after-68","앞 PR #68 이후 리뷰","worker shell과 RUNNING 전이"
"70","[feat] 에이전트 실행 최종 상태 기록 추가","feature/agent-dispatch-worker-loop","feature/agent-dispatch-final-transition","ae29e3b","stacked","CLEAN no-checks","after-69","앞 PR #69 이후 리뷰","job 최종 상태 기록"
"71","[feat] 에이전트 dispatch 실행 port 연결","feature/agent-dispatch-final-transition","feature/agent-dispatch-execution-port","6ee11e5","stacked","CLEAN no-checks","after-70","앞 PR #70 이후 리뷰","execution port 연결 shell"
"72","[feat] 에이전트 dispatch DB outbox 기반 추가","feature/agent-dispatch-execution-port","feature/agent-dispatch-db-outbox","f9c6ea9","stacked","CLEAN no-checks","after-71","앞 PR #71 이후 리뷰","DB outbox 기반"
"73","[feat] 에이전트 dispatch outbox poller 추가","feature/agent-dispatch-db-outbox","feature/agent-dispatch-outbox-poller","1aee085","stacked","CLEAN no-checks","after-72","앞 PR #72 이후 리뷰","outbox poller"
"74","[feat] 에이전트 dispatch outbox scheduler 추가","feature/agent-dispatch-outbox-poller","feature/agent-dispatch-outbox-scheduler","661b57f","stacked","CLEAN no-checks","after-73","앞 PR #73 이후 리뷰","outbox scheduler"
"75","[feat] 자료 삭제 저장소 재시도 기록 추가","feature/resource-delete-storage-cleanup","feature/resource-delete-cleanup-retry","fe1b4f4","stacked","CLEAN no-checks","after-67","앞 PR #67 이후 리뷰","자료 삭제 실패 retry record"
"76","[feat] 자료 삭제 저장소 재시도 worker 추가","feature/resource-delete-cleanup-retry","feature/resource-delete-retry-worker","5b2c8d2","stacked","CLEAN no-checks","after-75","앞 PR #75 이후 리뷰","자료 삭제 retry worker"
"77","[feat] 자료 삭제 저장소 재시도 scheduler 추가","feature/resource-delete-retry-worker","feature/resource-delete-retry-scheduler","bbdbd01","stacked","CLEAN no-checks","after-76","앞 PR #76 이후 리뷰","자료 삭제 retry scheduler"
"78","[feat] 에이전트 실행 결과 후보 저장 연결","feature/agent-dispatch-outbox-scheduler","feature/agent-result-suggestion-recorder","4fb184b","stacked","CLEAN no-checks","after-74","앞 PR #74 이후 리뷰","에이전트 실행 결과 후보 저장 연결"
"79","[feat] 에이전트 모델 호출 로그 저장 연결","feature/agent-result-suggestion-recorder","feature/agent-model-call-log-recorder","6dab1d0","stacked","CLEAN no-checks","after-78","앞 PR #78 이후 리뷰","모델 호출 로그 저장 연결"
"80","[feat] 자료 삭제 dead-letter 조회 기반 추가","feature/resource-delete-retry-scheduler","feature/resource-delete-dead-letter-api","2c5c4fd","stacked","CLEAN no-checks","after-77","앞 PR #77 이후 리뷰","dead-letter 조회 기반"
"81","[test] 자료 삭제 dead-letter 조회 인덱스 보강","feature/resource-delete-dead-letter-api","feature/resource-delete-dead-letter-index","198894c","stacked","CLEAN no-checks","after-80","앞 PR #80 이후 리뷰","dead-letter 조회 인덱스"
"83","[feat] 타이머 작업시간 기본 API 추가","develop","codex/develop-time-log-basic-api","774502c","develop-ready","CI PASS review-required #92-base PASS","after-92","팀 리뷰 후 develop 병합 검토 가능","#92 기준선 위 clean merge와 로컬 검증 4종 통과"
"84","[chore] Terraform RDS 백업 및 삭제 보호 설정 추가","develop","chore/terraform-rds-backup","5b0a910","develop-ready","CI PASS review-required #92-base PASS","infra-after-92","인프라 담당자 리뷰 후 병합 검토","#92 기준선 위 clean merge와 로컬 검증 4종 통과"
"85","[feat] 프로젝트룸 수정 결제 종료 API 추가","develop","codex/develop-project-room-management-api","c404b02","develop-ready","CI PASS review-required #92-base PASS","after-92","팀 리뷰 후 develop 병합 검토 가능","#92 기준선 위 clean merge와 로컬 검증 4종 통과"
"86","[refactor] ProjectMembershipPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-project-membership-docs","7991e9e","stacked-refactor","CLEAN no-checks","after-29","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"87","[refactor] UserPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-user-public-service","b70f444","stacked-refactor","CLEAN no-checks","after-86","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"88","[refactor] TaskPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-task-public-service","d814e5f","stacked-refactor","CLEAN no-checks","after-87","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"89","[refactor] WbsItemPublicService 공개 계약 분리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-wbs-public-service","697f209","stacked-refactor","CLEAN no-checks","after-88","문서 stack 기준 공개 계약 보정","#92 develop 기준선 PR에도 재구성됨"
"90","[refactor] ResourcePublicService 공개 계약 분리","feature/resource-ai-document-api","codex/abstraction-boundary-resource-public-service","a11f4c4","stacked-refactor","CLEAN no-checks local-4 PASS","after-36","앞 PR #36 이후 리뷰","CI 미생성 예외. feature base workflow 제한"
"91","[docs] 선별적 인터페이스화 재검토 결과 정리","chore/latest-docs-2026-06-25","codex/abstraction-boundary-review-summary","70aba00","docs-summary","CLEAN no-checks diffcheck PASS","after-29","팀원용 재검토 결과 문서","#92 기준선과 direct PR 재검증 결과 기록"
"92","[refactor] PublicService 공개 계약 인터페이스화","develop","codex/develop-public-service-contracts","4e0886a","develop-baseline","CI PASS review-required local-4 PASS","highest","가장 먼저 리뷰해서 develop 기준선으로 병합","#86~#89 code-only 보정을 develop 위에 재구성한 기준선 PR"
